"科目名","アントレプレナーモデル","イントラプレナーモデル","事業承継モデル"
"事業設計工学概論","◎","◎","◎"
"エマージング・イノベーション特論","◎","◎","◎"
"サービスサイエンス特論","◎","◎","◎"
"スタートアップ戦略特論","◎","◎","◎"
"会計・ファイナンス工学特論","◎","◎","◎"
"マネジメントシステム基礎特論","◎","◎","◎"
"マネジメントシステム応用特論","◎",,
"統計・数理計量ファイナンス特別演習","◎",,
"リーダーシップ特論","◎",,
"地域経済分析特別演習","◎",,
"製品開発組織特論",,"◎",
"エマージング・テクノロジー特論","◎","◎","◎"
"事業方向性設計特論","◎","◎","◎"
"事業方向性設計演習","◎","◎","◎"
"技術経営戦略特論","◎","◎",
"ネットワーク事業設計特論",,,"◎"
"市場創造技術特論",,,"◎"
"意思決定サイエンス特論",,"◎","◎"
"イノベーティブサービス技術特論",,,"◎"
"事業継続戦略特論","◎","◎","◎"
"国際開発特論","☆","☆","☆"
"Technical Writing in English ","☆","☆","☆"
"国際経営特論","☆","☆","☆"
"DESIGN［RE］THINKING ","☆","☆","☆"
