"科目","インダストリアルデザイナー","開発設計エンジニア","AI・データサイエンティスト","グローバルエンジニアリング"
"デザイン表現実習","◎",,"◎",
"デジタルデザイン実習","◎",,"◎",
"コミュニケーションデザイン特論","◎",,"◎","◎"
"価値デザイン特論","◎",,"◎","◎"
"DESING[RE]THINKING ","◎",,,"◎"
"プロダクトデザイン特論","◎",,,
"プロダクトデザイン特別演習","◎",,,
"造形デザイン特別演習","◎",,,
"工業デザイン材料特論","◎",,,
"デザインマネジメント特論","◎",,,"◎"
"組込みシステム特論",,"◎","◎",
"ET（Embedded Technology）特別演習",,"◎","◎",
"システムモデリング特論",,"◎","◎",
"データサイエンス特論",,"◎","◎",
"データサイエンス特別演習",,,"◎",
"インテリジェントシステム特論",,,"◎","◎"
"機械学習特論",,,"◎",
"AI デザイン特論",,"◎","◎",
"設計工学特論","◎","◎",,"◎"
"創造設計特論","◎","◎",,"◎"
"プロトタイピング工学特論","◎","◎",,
"チーム設計・試作特別演習","◎","◎",,
"信頼性工学特論",,"◎",,
"品質工学特論",,"◎",,
"システムインテグレーション特論",,"◎","◎","◎"
"サービス工学特論","◎","◎","◎","◎"
"人間中心デザイン特論","◎","◎","◎","◎"
"国際開発特論",,,,"◎"
"国際経営特論",,,,"◎"
"グローバルコミュニケーション特論",,,,"◎"
"Technical Writing in English ",,,,"◎"
