"科目名","ストラテジスト","システムアーキテクト","プロジェクトマネージャ","テクニカルスペシャリスト"
"IoT 開発特論",,"◎",,"◎"
"IT・CIO 特論","◎","◎","◎","◎"
"Java プログラミング技法","☆","☆","☆","☆"
"OSS 特論","◎","◎",,"◎"
"アジャイル開発手法特論",,"◎","◎","◎"
"クラウドインフラ構築特論",,,,"◎"
"クラウドサーバ構築特論",,"◎",,"◎"
"コミュニケーション技術特論","◎",,"◎",
"コラボレイティブ開発特論",,"◎","◎","◎"
"サービスサイエンス特論","◎","◎",,
"システムソフトウェア特論","☆","☆","☆","☆"
"システムプログラミング特論",,"◎",,"◎"
"セキュアシステム管理運用特論",,,"◎","◎"
"セキュアプログラミング特論",,,,"◎"
"ソフトウェア工学特論",,"◎","◎","◎"
"データインテリジェンス特論",,"◎",,"◎"
"データベース特論","☆","☆","☆","☆"
"ネットワークシステム特別講義",,,"◎","◎"
"ネットワーク特論","☆","☆","☆","☆"
"ビックデータ解析特論",,"◎",,"◎"
"フレームワーク開発特論",,"◎",,"◎"
"プロジェクト管理特別講義",,,"◎","◎"
"プロジェクト管理特論 1","◎",,"◎",
"プロジェクト管理特論 2","◎","◎","◎",
"プロジェクト管理特論 3",,,"◎",
"情報セキュリティ特別講義 1","◎",,"◎","◎"
"情報セキュリティ特別講義 2",,,,"◎"
"情報セキュリティ特論","◎","◎",,"◎"
"情報アーキテクチャ特論 1","☆","☆","☆","☆"
"情報アーキテクチャ特論 2","◎","◎",,
"情報アーキテクチャ特論 3","◎","◎",,
"情報システム特論 1",,"◎","◎",
"情報システム特論 2","◎","◎","◎",
"情報ビジネス特別講義 1","◎",,"◎",
"情報ビジネス特別講義 2","◎",,"◎",
"情報ビジネス特別講義 3","◎",,"◎",
"標準化と知財戦略","◎","◎","◎",
